name,howbig,latitude,longitude,postalCode,city,department,region
Lavilletertre,c,49.2024666,1.9206361,60240,Lavilletertre,Oise,Picardie
Asnières-sur-Seine,b,48.9058, 2.28324,92600,Asnières-sur-Seine,Hauts-de-Seine,Île-de-France
Colombes,b,48.92383, 2.25939,92700,Colombes,Hauts-de-Seine,Île-de-France
Avenue Foch,b,48.870971, 2.2756167,75016,Paris,Paris,Île-de-France
Les Ramassiers,c,43.6024594, 1.3528032,31000,Colomiers,Haute-Garonne,Midi-Pyrénées
Maurois,c,50.0674506, 3.4562554,59980,Maurois,Nord,Nord-Pas-de-Calais
Brunémont,c,50.2783197, 3.1453509,59151,Brunémont,Nord,Nord-Pas-de-Calais
Iwuy,c,50.2255015, 3.3298634,59141,Iwuy,Nord,Nord-Pas-de-Calais
Pont-à-Vendin,c,50.4713812, 2.8751938,62880,Pont-à-Vendin,Pas-de-Calais,Nord-Pas-de-Calais
Ostricourt,b,50.44542, 3.03244,59162,Ostricourt,Nord,Nord-Pas-de-Calais
Hénin-Beaumont,b,50.41706, 2.95211,62110,Hénin-Beaumont,Pas-de-Calais,Nord-Pas-de-Calais
Loos-en-Gohelle,c,50.4378798, 2.7933955,62750,Loos-en-Gohelle,Pas-de-Calais,Nord-Pas-de-Calais
Lens,a,50.426818, 2.828254,62300,Lens,Pas-de-Calais,Nord-Pas-de-Calais
Lourches,c,50.3102834, 3.3434016,59172,Lourches,Nord,Nord-Pas-de-Calais
Denain,c,50.3345415, 3.388699,59220,Denain,Nord,Nord-Pas-de-Calais
Saint-Amand-les-Eaux,b,50.44331, 3.41952,59230,Saint-Amand-les-Eaux,Nord,Nord-Pas-de-Calais
Vimy,c,50.3732316, 2.8229549,62580,Vimy,Pas-de-Calais,Nord-Pas-de-Calais
Vis à Marles,c,50.5050115, 2.5171137,62156,Marles-les-Mines,Pas-de-Calais,Nord-Pas-de-Calais
La Bassée,b,50.52799, 2.80482,59480,Bassée,Nord,Nord-Pas-de-Calais
Thiennes,c,50.6523561, 2.4729218,59189,Thiennes,Nord,Nord-Pas-de-Calais
Aubigny-en-Artois,c,50.35297, 2.5928045,62690,Aubigny-en-Artois,Pas-de-Calais,Nord-Pas-de-Calais
