Intitulé gare;Code UIC;Segment DRG;Niveau de service;Nombre plateformes;WGS 84;Code postal;Commune;Département;Région
Lavilletertre;0087381202;c;1;1;49.2024666, 1.9206361;60240;Lavilletertre;Oise;Picardie
Asnières-sur-Seine;0087381137;b;;1;48.9058, 2.28324;92600;Asnières-sur-Seine;Hauts-de-Seine;Île-de-France
Colombes;0087381087;b;;1;48.92383, 2.25939;92700;Colombes;Hauts-de-Seine;Île-de-France
Avenue Foch;0087381038;b;;1;48.870971, 2.2756167;75016;Paris;Paris;Île-de-France
Les Ramassiers;0087353581;c;1;1;43.6024594, 1.3528032;31000;Colomiers;Haute-Garonne;Midi-Pyrénées
Maurois;0087345546;c;1;1;50.0674506, 3.4562554;59980;Maurois;Nord;Nord-Pas-de-Calais
Brunémont;0087345439;c;1;1;50.2783197, 3.1453509;59151;Brunémont;Nord;Nord-Pas-de-Calais
Iwuy;0087345397;c;1;1;50.2255015, 3.3298634;59141;Iwuy;Nord;Nord-Pas-de-Calais
Pont-à-Vendin;0087345264;c;1;1;50.4713812, 2.8751938;62880;Pont-à-Vendin;Pas-de-Calais;Nord-Pas-de-Calais
Ostricourt;0087345249;b;1;1;50.44542, 3.03244;59162;Ostricourt;Nord;Nord-Pas-de-Calais
Hénin-Beaumont;0087345157;b;1;1;50.41706, 2.95211;62110;Hénin-Beaumont;Pas-de-Calais;Nord-Pas-de-Calais
Loos-en-Gohelle;0087345033;c;1;1;50.4378798, 2.7933955;62750;Loos-en-Gohelle;Pas-de-Calais;Nord-Pas-de-Calais
Lens;0087345025;a;2;1;50.426818, 2.828254;62300;Lens;Pas-de-Calais;Nord-Pas-de-Calais
Lourches;0087343475;c;1;1;50.3102834, 3.3434016;59172;Lourches;Nord;Nord-Pas-de-Calais
Denain;0087343459;c;1;1;50.3345415, 3.388699;59220;Denain;Nord;Nord-Pas-de-Calais
Saint-Amand-les-Eaux;0087343103;b;1;1;50.44331, 3.41952;59230;Saint-Amand-les-Eaux;Nord;Nord-Pas-de-Calais
Vimy;0087342576;c;1;1;50.3732316, 2.8229549;62580;Vimy;Pas-de-Calais;Nord-Pas-de-Calais
Vis à Marles;0087342535;c;1;1;50.5050115, 2.5171137;62156;Marles-les-Mines;Pas-de-Calais;Nord-Pas-de-Calais
La Bassée;0087342436;b;1;1;50.52799, 2.80482;59480;Bassée;Nord;Nord-Pas-de-Calais
Thiennes;0087342287;c;1;1;50.6523561, 2.4729218;59189;Thiennes;Nord;Nord-Pas-de-Calais
Aubigny-en-Artois;0087342246;c;1;1;50.35297, 2.5928045;62690;Aubigny-en-Artois;Pas-de-Calais;Nord-Pas-de-Calais
Bully - Grenay;0087342105;b;1;1;50.44843, 2.73317;62160;Bully-les-Mines;Pas-de-Calais;Nord-Pas-de-Calais
