id,name,slug,longitude,latitude,country,info:fr
1,Château-Arnoux—St-Auban,chateau-arnoux-st-auban,6.0016250000,44.0817900000,FR,
2,Château-Arnoux—St-Auban,chateau-arnoux-st-auban,5.997342,44.061499,FR,
3,Château-Arnoux Mairie,chateau-arnoux-mairie,6.011248,44.063863,FR,
4,Digne-les-Bains,digne-les-bains,6.3500000000,44.3500000000,FR,
6,Digne-les-Bains,digne-les-bains,6.222982406616211,44.088710133980605,FR,
7,La Crau,la-crau,6.068830490112305,43.144929623552464,FR,
8,Aire-sur-l’Adour,aire-sur-ladour,-0.258269,43.703854,FR,
9,Cagnes-sur-Mer,cagnes-sur-mer,7.148301601409912,43.65779730975508,FR,
10,Menton,menton,7.5043490000,43.7764860000,FR,
11,Menton,menton,7.493156,43.774716,FR,
12,Menton—Garavan,menton-garavan,7.517247,43.785269,FR,
16,Vievola,vievola,,,FR,
17,Vievola,vievola,,,FR,
18,Vievola,vievola,7.562788724899292,44.11257890785429,FR,
19,Mandelieu-la-Napoule,mandelieu-la-napoule,6.941471099853516,43.52418047111926,FR,
23,Decazeville,decazeville,2.2500000000,44.5500000000,FR,
24,Decazeville Centre,decazeville-centre,2.255896,44.561434,FR,
25,Viviez—Decazeville,viviez-decazeville,2.218384,44.5556,FR,
26,Decazeville Fontvergne,decazeville-fontvergne,2.263741493225097,44.55563533558816,FR,
27,St-Sever,st-sever,-1.0333330000,48.8333330000,FR,
28,St-Sever Centre,st-sever-centre,-1.049283,48.839517,FR,
29,St-Sever,st-sever,-1.051746,48.843715,FR,
30,Vire,vire,-0.88928,48.83897,FR,
31,Vire Centre,vire-centre,-0.880538,48.837638,FR,
32,Vire,vire,-0.883001,48.846421,FR,
33,Marans,marans,-1.0000000000,46.3000000000,FR,
34,Marans Centre,marans-centre,-0.979212,46.290815,FR,
35,Marans,marans,-0.991204,46.310878,FR,
36,Uzerche,uzerche,1.570253,45.440848,FR,
38,Dijon Ville,dijon-ville,5.026345,47.323199,FR,
40,Pontrieux,pontrieux,-3.1666670000,48.7000000000,FR,
41,Pontrieux Halte,pontrieux-halte,-3.164355,48.69809,FR,
42,Pontrieux,pontrieux,-3.156382,48.706018,FR,
43,Auboué,auboue,5.9714555740356445,49.216167463145354,FR,
44,Périgueux,perigueux,0.7075291872024536,45.18725079810115,FR,
45,Besançon Viotte,besancon-viotte,6.021999,47.24733,FR,
47,Douarnenez Office de Tourisme,douarnenez-office-de-tourisme,-4.3303728103637695,48.09336269013469,FR,
50,Concarneau,concarneau,-3.9166670000,47.8666670000,FR,
51,Concarneau Port,concarneau-port,-3.927593,47.867055,FR,
52,Concarneau,concarneau,-3.9205312728881836,47.87767079094932,FR,
55,Aboncourt,aboncourt,6.3500000000,49.2666670000,FR,
56,Aiton—Bourgneuf,aiton-bourgneuf,6.2500000000,45.5666670000,FR,
57,Colomiers,colomiers,1.3500000000,43.6166670000,FR,
58,Colomiers,colomiers,1.333936,43.603534,FR,
59,Colomiers Lycée International,colomiers-lycee-international,1.314168,43.616326,FR,
60,Labège,labege,1.5333330000,43.5333330000,FR,
61,Labège Innopole,labege-innopole,1.512974,43.547361,FR,
62,Labège Village,labege-village,1.532921,43.530533,FR,
63,Azay-le-Rideau Mairie,azay-le-rideau-mairie,0.4666670000,47.2666670000,FR,
64,Albas,albas,1.2333330000,44.4666670000,FR,
65,Abancourt,abancourt,1.7740130424499512,49.68528648603422,FR,
66,Lunel,lunel,4.1333330000,43.6833330000,FR,
67,Lunel-Viel,lunel-viel,4.093741,43.681174,FR,
68,Lunel,lunel,4.131001,43.679601,FR,
72,Moirans,moirans,5.582084655761719,45.32206908322778,FR,
73,Arc-et-Senans,arc-et-senans,5.7666670000,47.0333330000,FR,
74,Accolay,accolay,3.7166670000,47.6666670000,FR,
76,Dole Ville,dole-ville,5.488046407699585,47.09622856396676,FR,
77,Dax,dax,-1.0500365495681763,43.72076108921594,FR,
80,Rezé,reze,-1.5666670000,47.2000000000,FR,
82,Rezé—Pont-Rousseau,reze-pont-rousseau,-1.549587,47.193278,FR,
83,Cherbourg,cherbourg,-1.6210681200027466,49.633295372995704,FR,
84,Angers St-Laud,angers-st-laud,-0.5568641424179077,47.46440211188047,FR,
85,Saumur,saumur,-0.07103562355041504,47.268433556950825,FR,
87,Cérences Centre,cerences-centre,-1.437824,48.91686,FR,
89,Reims,reims,4.0333330000,49.2500000000,FR,
90,Reims Maison Blanche,reims-maison-blanche,4.022484,49.233685,FR,
91,Champagne-Ardenne TGV,champagne-ardenne-tgv,3.994248,49.214385,FR,à 8 km de Reims
92,Reims Ville,reims-ville,4.024156,49.259241,FR,
93,Laval,laval,-0.761089,48.076405,FR,
94,Accous,accous,-0.6000000000,42.9833330000,FR,
95,Achiet,achiet,2.7500000000,50.1166670000,FR,
96,Louverné,louverne,-0.7000000000,48.1333330000,FR,
97,Louverné,louverne,-0.714624,48.108748,FR,
98,Louverné Centre,louverne-centre,-0.719904899597168,48.12305356338282,FR,
99,Mayenne,mayenne,-0.6166670000,48.3000000000,FR,
100,Mayenne,mayenne,-0.6205880641937256,48.3064552166399,FR,
101,Mayenne Centre,mayenne-centre,-0.611339807510376,48.299504040832794,FR,
104,Arnage,arnage,0.1833330000,47.9333330000,FR,
105,Arnage,arnage,0.190103,47.928236,FR,
106,Arnage Centre,arnage-centre,0.163801,47.937288,FR,
107,Carnac,carnac,-3.0833330000,47.5833330000,FR,
108,Plouharnel—Carnac,plouharnel-carnac,-3.118456,47.6043,FR,
109,Les Sables-Blancs,les-sables-blancs,-3.132453,47.575598,FR,
110,Carnac,carnac,-3.0826091766357417,47.584558972342386,FR,
111,St-Pierre-Quiberon,st-pierre-quiberon,-3.1333330000,47.5166670000,FR,
112,L’Isthme,listhme,-3.133549,47.547102,FR,
113,St-Pierre-Quiberon,st-pierre-quiberon,-3.138907,47.52106,FR,
114,Metz,metz,6.177665,49.109382,FR,
115,Forbach,forbach,6.9000000000,49.1833330000,FR,
117,Forbach Gare,forbach-gare,6.900254,49.189215,FR,France
118,Sarreguemines,sarreguemines,7.0674710000,49.1099500000,FR,
119,Sarreguemines Poste,sarreguemines-poste,7.054923,49.110155,FR,
121,Sarreguemines,sarreguemines,7.068398594856262,49.10741472240868,FR,
122,Dunkerque,dunkerque,2.3686105012893672,51.03026865635461,FR,
123,Lille-Flandres,lille-flandres,3.071128,50.637486,FR,
124,Haubourdin,haubourdin,2.990228533744812,50.6069682482955,FR,
125,Tourcoing,tourcoing,3.168176,50.716573,FR,
126,Nomain,nomain,3.2500000000,50.5000000000,FR,
127,Nomain-Ouvignies,nomain-ouvignies,3.230831,50.506063,FR,
128,Nomain,nomain,3.206362,50.502423,FR,
129,Croix,croix,,,FR,
130,Croix—Wasquehal,croix-wasquehal,3.137765,50.678521,FR,
131,Croix-l’Allumette,croix-lallumette,3.151564,50.687115,FR,
132,Roubaix,roubaix,3.1631076335906982,50.6957168696774,FR,
136,Jeumont,jeumont,4.1000000000,50.3000000000,FR,
137,Jeumont,jeumont,4.086271,50.296237,FR,
139,Bellegarde-sur-Valserine,bellegarde-sur-valserine,5.8242130000,46.1078740000,FR,
140,Bellegarde-sur-Valserine,bellegarde-sur-valserine,5.825962,46.110913,FR,
141,Bellegarde-sur-Valserine Lycée Musinens,bellegarde-sur-valserine-lycee-musinens,5.794132,46.115336,FR,
143,Briouze,briouze,-0.3682136535644531,48.70183766127341,FR,
148,Calais Ville,calais-ville,1.850177,50.953402,FR,
